Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   37    4 0xffffff8002d8a000 0xfff      0xfff      com.apple.driver.AppleUSBHostMergeProperties (1.2) BD2841CC-21CC-37EC-B15F-EB72E2F81BE9 <8 6 3 1>
   38   21 0xffffff8002cb7000 0x74ff4    0x74ff4    com.apple.iokit.IOUSBHostFamily (1.2) 446D6C3B-9671-383F-9398-DBB177AADA65 <37 36 35 27 19 17 9 8 7 6 3 1>
   39    1 0xffffff8002e85000 0x20000    0x20000    com.apple.iokit.IOUSBMassStorageDriver (259.100.1) F0C4AF89-A085-3A92-9824-D43FD178C557 <38 33 29 18 8 7 6 3 1>
   40    2 0xffffff8001c42000 0x7ffd     0x7ffd     com.apple.driver.AppleUSBTDM (556) 1D341FFC-87A6-3FC8-861B-C1A0E50BBAB8 <39 38 34 33 29 27 9 8 7 6 3 1>
   41    0 0xffffff80019e9000 0x9fffa    0x9fffa    com.apple.driver.AppleKeyStore (2) AF2A9AB2-15D9-365B-AF83-92726EA7A8C0 <40 27 25 24 22 21 10 9 8 7 6 3 1>
   42    0 0xffffff8001aaf000 0x17ff8    0x17ff8    com.apple.driver.AppleLockdownMode (1) 00A81D5F-7970-34FD-A649-5318F43D7C69 <24 9 8 7 6 3 1>
   43    0 0xffffff8001bef000 0x9000     0x9000     com.apple.driver.AppleSSE (1.0) 94CF0AE2-C456-3758-8C00-C43A31551420 <22 21 9 8 7 6 3 1>
   44    0 0xffffff8001fde000 0x2ff8     0x2ff8     com.apple.Dont_Steal_Mac_OS_X (7.0.0) EEE5D534-3901-3B21-B83C-3458BB346F42 <19 10 9 8 6 3 1>
   45    2 0xffffff8001ad0000 0x2ffe     0x2ffe     com.apple.kext.AppleMatch (1.0.0d1) 48FD233A-2426-30BC-A52E-52278413E026 <8 6 3 1>
   46    3 0xffffff8002eea000 0x64ff2    0x64ff2    com.apple.security.sandbox (300.0) 3B6BACCA-CD9E-3C71-8C64-C1808541342A <45 29 27 10 9 8 7 6 3 2 1>
   47    2 0xffffff8002ede000 0x9ff1     0x9ff1     com.apple.security.quarantine (4) 1E914FAD-FA97-3007-82F8-6A9D601E7588 <46 45 9 8 7 6 3 2 1>
