Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  149    0 0xffffff7f9572e000 0xdff8     0xdff8     com.apple.driver.ACPI_SMC_PlatformPlugin (1.0.0) C284FAEE-9055-306E-BC43-7222DEE8D151 <148 135 19 18 17 9 8 7 6 3>
  150    1 0xffffff8001cda000 0x61ffd    0x61ffd    com.apple.driver.AppleThunderboltDPOutAdapter (8.5.1) 9CD8C19B-4D86-367D-B045-466BF4B23499 <121 97 17 7 6 3 1>
  151    0 0xffffff7f952d4000 0x8000     0x8000     com.apple.driver.AppleThunderboltEDMSink (5.0.3) FBA52B7E-C560-3B4E-AFA7-DF0BA6EB3876 <150 121 97 17 7 6 3 1>
  152    0 0xffffff7f952eb000 0x5eff4    0x5eff4    com.apple.driver.AppleThunderboltIP (4.0.3) C852AF59-452B-3E6B-BCED-1E6CD8CE74A0 <97 53 18 7 6 3 1>
  153    1 0xffffff80029be000 0x2ff5     0x2ff5     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 43C79203-8100-355D-897D-7086ACE55B55 <9 8 7 6 3 1>
  154    0 0xffffff7f9520b000 0xfff      0xfff      com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) F4637EA3-77A0-34B8-A12C-1DDF41B05118 <153 6 3>
  155    0 0xffffff7f94ad8000 0x6ff4     0x6ff4     com.apple.AppleGPUWrangler (8.1.10) 50674C51-24F3-36C7-9CA9-D67CE245A01E <137 133 18 9 8 7 6 3 1>
  156    0 0xffffff7f94a48000 0x1ffa     0x1ffa     com.apple.driver.AppleFIVRDriver (4.1.0) FEC304D0-3EDE-30A2-B3A8-547AEF11EF56 <6 3>
  157    0 0xffffff7f95032000 0xd7ff9    0xd7ff9    com.apple.driver.AppleIntelKBLGraphics (23.0.7) C30543DB-46BB-30EA-9238-5A434916101C <138 133 106 18 9 8 7 6 3 1>
  158    0 0xffffff7f95350000 0x1b000    0x1b000    com.apple.driver.AppleThunderboltNHISpeedTest (0.0.1) 01913634-C2A1-33D9-91A8-B6AD920E7F24 <97 18 8 7 6 3 1>
  159    0 0xffffff7f949ca000 0x3000     0x3000     com.apple.driver.AppleAVEBridge (6.1) 0537C4F2-C0C2-38F2-9373-D4262731D3F7 <89 7 6 3>
  160    0 0xffffff7f9541d000 0xaffc     0xaffc     com.apple.driver.BridgeAudioCommunication (530.2) 42483F1D-490E-3C70-9565-0AF778344173 <89 9 7 6 3 1>
  161    0 0xffffff7f94ace000 0x3000     0x3000     com.apple.driver.AGDCBacklightControl (8.1.10) 0E397401-45E6-3AAD-84DA-42642E716574 <145 137 133 17 9 7 6 3 1>
  162    0 0xffffff7f94d4b000 0x13ff4    0x13ff4    com.apple.driver.AppleHV (1) 187D09A7-736E-3E9A-8211-33A3E1EEEAD6 <46 9 8 7 6 3 1>
  163    0 0xffffff7f94d63000 0x5000     0x5000     com.apple.driver.AppleIPAppender (1.0) 6677E633-CF6A-394D-A952-548FDFB9E26A <55 53 9 8 7 6 3 1>
  164    1 0xffffff7f957af000 0x8ff4     0x8ff4     com.apple.iokit.IORSMFamily (1) 2CAD2B1F-2FA5-34CE-B70C-DF7AE804896B <7 6 3 1>
  165    0 0xffffff7f95266000 0xcffd     0xcffd     com.apple.driver.AppleRSMChannel (1) 226B13A7-83F9-3BDA-A334-C1A9D76B1F8D <164 8 7 6 3 1>
  166    1 0xffffff7f95773000 0x2aff4    0x2aff4    com.apple.iokit.IORDMAFamily (1.0) E864200E-4A0D-3C5C-A8C7-89B5F84A5EBE <9 8 7 6 3 1>
  167    0 0xffffff7f95278000 0xf000     0xf000     com.apple.driver.AppleRXE (1.0) 1E4B075C-132B-3A69-80BA-CF3D0198C040 <166 9 8 7 6 3 1>
  168    0 0xffffff7f95372000 0x2fff     0x2fff     com.apple.driver.AppleUIO (1) 404C1E0E-C325-3246-BC2C-2E4E77BF5C7D <18 8 7 6 3 1>
  169    0 0xffffff7f954a2000 0x22ff9    0x22ff9    com.apple.iokit.IOAVBFamily (1320.3) 6DC78C8F-D233-3D6C-A806-C82B19137BB4 <141 56 53 8 7 6 3 1>
  170    1 0xffffff7f949df000 0xffb      0xffb      com.apple.driver.AppleAudioClockLibs (420.3) 48F0ECDE-D694-3E15-BA81-9331A5C87723 <9 7 6 3 1>
  171    1 0xffffff7f95cbc000 0xc2fea    0xc2fea    com.apple.vecLib.kext (1.2.0) 35DDB12B-28E4-30AF-B64C-D145DD02F410 <13 9 8 7 6 3>
  172    3 0xffffff7f955b1000 0x1e000    0x1e000    com.apple.iokit.IOAudioFamily (600.2) 4556BE0C-7F57-3B76-8BB4-41AB8D5EA6DA <171 7 6 3 1>
  173    0 0xffffff7f9537f000 0x51ff4    0x51ff4    com.apple.driver.AppleUSBAudio (750.4) 54FC6F24-26DC-3AAA-85EC-D578CE772915 <172 170 123 38 37 18 8 7 6 3 1>
  174    0 0xffffff7f94a52000 0x5f000    0x5f000    com.apple.driver.AppleGFXHDA (400.1) 5A9F0A08-567B-35E8-85D6-D4AD0E18FC02 <172 144 133 18 9 8 7 6 3 1>
  175    1 0xffffff7f94d42000 0x3ffc     0x3ffc     com.apple.iokit.IOHDAFamily (600.2) 9A7A0B27-9ADB-3A40-82D7-28D64146CCAA <7 6 3 1>
  176    0 0xffffff7f94c20000 0x12ff4    0x12ff4    com.apple.driver.AppleHDAController (600.2) 127B008B-0862-3232-9A2B-05A8B1C75BEE <175 172 133 18 9 8 7 6 3 1>
  177    0 0xffffff7f9529b000 0x1000     0x1000     com.apple.driver.AppleSMBusPCI (1.0.14d1) 7F0B4398-AE70-3A90-9CE5-752C66C5D168 <18 7 6 3>
  178    1 0xffffff7f94a32000 0x5ffa     0x5ffa     com.apple.driver.AppleCallbackPowerSource (1) 679798BC-C48D-32C8-88E5-BEBA42480BDC <8 7 6 3 1>
  179    0 0xffffff7f9570d000 0x6ff7     0x6ff7     com.apple.driver.IOHIDPowerSource (1) 7E3223E4-C03D-3BAB-8711-6685D078CADB <178 60 8 7 6 3 1>
  180    0 0xffffff7f95882000 0x13ff4    0x13ff4    com.apple.driver.usb.AppleUSBUserHCI (1) 3FEF2DC5-37B6-30C0-93D8-A75FA05926A9 <38 36 8 7 6 3 1>
  181    0 0xffffff7f958a3000 0x4fff     0x4fff     com.apple.iokit.IOUserEthernet (1.0.1) FB0E7B9F-8563-3DE3-AAC1-F06E2FF4721A <53 8 7 6 3 1>
  182    2 0xffffff7f95c82000 0x2ffd     0x2ffd     com.apple.kext.triggers (1.0) 935C5492-4374-327F-B83E-CD6BE4DB0A69 <9 8 7 6 3 1>
  183    0 0xffffff7f95b05000 0xac000    0xac000    com.apple.filesystems.nfs (1) C6F2CA3C-54A7-3AA6-A959-AB20A10C5C89 <182 10 9 8 7 6 3 1>
  184    0 0xffffff7f95bb7000 0x9000     0x9000     com.apple.driver.pmtelemetry (1) E7F4F077-CF46-3A9F-B2F1-F9BFEAA3F5B8 <9 8 7 6 3 1>
  185    0 0xffffff7f9542c000 0x9ffc     0x9ffc     com.apple.driver.AppleBridgeAudioController (530.2) A7094B88-EF51-3A72-B209-D7144C1EC87E <18 9 8 7 6 3 1>
  186    0 0xffffff7f94ad4000 0x1ffe     0x1ffe     com.apple.AGDCPluginDisplayMetrics (8.1.10) 7379ADE1-E35C-3928-8083-3FA45CDC3369 <137 9 8 7 6 3 1>
  187    0 0xffffff7f95402000 0x3000     0x3000     com.apple.driver.AppleUpstreamUserClient (3.6.12) CB8872EF-E785-38A9-8ECB-E6DF654393FD <133 18 17 9 7 6 3 1>
  188    1 0xffffff7f94acb000 0xfff      0xfff      com.apple.driver.AppleGraphicsControl (8.1.10) AC5586D1-98C0-397B-B831-C1DCFEBEFC7B <9 7 6 3 1>
  189    0 0xffffff7f94aec000 0xcffd     0xcffd     com.apple.driver.AppleGraphicsDevicePolicy (8.1.10) FE9655FF-91B0-3B30-B94C-A458D2AA645C <188 137 133 18 17 9 8 7 6 3 1>
  190    0 0xffffff7f9592f000 0x1000     0x1000     com.apple.UVCService (1) 1E7303FD-A167-3D79-A792-322F889F95EA <38 9 8 7 6 3 1>
  192    0 0xffffff7f95ac0000 0x7ff7     0x7ff7     com.apple.filesystems.autofs (3.0) 81397D73-B779-3075-B334-44D0EF4035AF <182 9 8 7 6 3 2 1>
  193    1 0xffffff7f95769000 0x6000     0x6000     com.apple.driver.X86PlatformShim (1.0.0) EA0E561C-C5C2-3015-A666-6D6CCE28D0E1 <147 135 19 9 6 3>
  194    0 0xffffff7f95261000 0x1fff     0x1fff     com.apple.driver.ApplePlatformEnabler (2.7.0d0) BB933F9F-4949-3CAC-8615-3B1ACF88955E <9 7 6 3>
  195    0 0xffffff7f94b45000 0x1f000    0x1f000    com.apple.driver.AGPM (137) E538A632-311C-3C80-8E33-1C57302B02C7 <144 137 135 133 18 8 7 6 3 1>
  196    2 0xffffff8001990000 0x12ffd    0x12ffd    com.apple.driver.AppleInputDeviceSupport (8440.2) 74EB2E90-56C1-3090-86FE-D50C07F6DA45 <23 21 7 6 3 1>
  197    2 0xffffff8001b25000 0x15ff9    0x15ff9    com.apple.driver.AppleMultitouchDriver (8440.2) ABDCD4D9-825C-39BB-A799-297172B219B9 <196 60 49 9 8 7 6 3 1>
  198    0 0xffffff80014c3000 0x7ffb     0x7ffb     com.apple.driver.AppleActuatorDriver (8440.2) 07C155DB-B648-3248-A15F-8DD3993E2A1B <197 196 60 49 9 8 7 6 3 1>
  199    1 0xffffff80024bb000 0x13ff9    0x13ff9    com.apple.driver.IOBluetoothHIDDriver (9.0.0) FBAD292F-801A-3B69-9919-A90547683CF6 <60 50 7 6 3>
  200    1 0xffffff8001dc6000 0x6ff4     0x6ff4     com.apple.driver.AppleHSBluetoothDriver (8420.1) 15476F66-24BF-3119-ACF5-AEB068F2A764 <199 60 50 8 7 6 3 1>
  201    0 0xffffff8001dd1000 0x9ff3     0x9ff3     com.apple.driver.AppleTopCaseHIDEventDriver (8420.1) 54E5C2A6-4C38-3137-9CC3-6299D41273CC <200 197 60 8 7 6 3 1>
  202    0 0xffffff8001929000 0xffd      0xffd      com.apple.driver.AppleHIDALSService (1) 0A2622E5-E52E-38FC-8A05-D645AC160EFD <38 6 3>
  203    0 0xffffff800192c000 0x4ffc     0x4ffc     com.apple.driver.AppleHIDKeyboard (8010.1) 5BD475E6-B8E9-37CF-86ED-1B05F9BB0526 <60 8 7 6 3>
